0, 0, 0.7438611066524414, [0.02613517263734344, 0.21212616826017539, 0.9990652186442248]
1, 0, 0.744736928201704, [0.02613517263734344, 1, 0.9990652186442248]
2, 0, 0.7442694314708447, [0.02613517263734344, 0.5385164573451874, 0.9990652186442248]
3, 0, 0.7442694314708447, [0.02613517263734344, 0.5385164573451874, 0.9990652186442248]
4, 0, 0.7442694314708447, [0.02613517263734344, 0.5385164573451874, 0.9990652186442248]
5, 0, 0.7442694314708447, [0.02613517263734344, 0.5385164573451874, 0.9990652186442248]
6, 0, 0.7442694314708447, [0.02613517263734344, 0.5385164573451874, 0.9990652186442248]
7, 0, 0.7439961650872926, [0.02613517263734344, 0.32590778151108946, 0.9990652186442248]
8, 0, 0.7439958078875104, [0.02613517263734344, 0.32590778151108946, 1]
9, 0, 0.7453959761429185, [0.02613517263734344, 0.32590778151108946, 0.07660077839207746]
10, 0, 0.3594434180100772, [0.02613517263734344, 0.03218265608061616, 0.07660077839207746]
11, 0, 0.3594434180100772, [0.02613517263734344, 0.03218265608061616, 0.07660077839207746]
12, 0, 0.11658086499249248, [0.02613517263734344, 0, 0.07660077839207746]
13, 0, 0.11658086499249248, [0.02613517263734344, 0, 0.07660077839207746]
14, 0, 0.7460152407838483, [0, 0, 0.07660077839207746]
15, 0, 0.7460152407838483, [0, 0, 0.07660077839207746]
16, 0, 0.41195016621409614, [0, 0, 0]
17, 0, 0.41195016621409614, [0, 0, 0]
18, 0, 0.41195016621409614, [0, 0, 0]
19, 0, 0.41195016621409614, [0, 0, 0]
20, 0, 0.41195016621409614, [0, 0, 0]
21, 0, 1.2683704657062937, [0.6094640704507759, 0, 0]
22, 0, 1.2683704657062937, [0.6094640704507759, 0, 0]
23, 0, 0.7470562471695679, [0.47581485122104705, 1, 0]
24, 0, 0.7470562471695679, [0.47581485122104705, 1, 0]
25, 0, 0.23904553627508207, [0.47581485122104705, 0.3156676280002193, 0]
26, 0, 0.7469142658042673, [0.47581485122104705, 0.8182269149865832, 0]
27, 0, 0.7470562471695679, [0.47581485122104705, 1, 0]
28, 0, 0.7471437580033713, [0, 1, 0]
29, 0, 0.7448439000862744, [0, 1, 0.8650396404893446]
30, 0, 0.7448439000862744, [0, 1, 0.8650396404893446]
31, 0, 0.7448439000862744, [0, 1, 0.8650396404893446]
32, 0, 0.7447384082243773, [0, 1, 1]
33, 0, 0.744711186666984, [0.3291114616681679, 1, 1]
34, 0, 0.744711186666984, [0.3291114616681679, 1, 1]
35, 0, 0.7447384082243773, [0, 1, 1]
36, 0, 0.7447384082243773, [0, 1, 1]
37, 0, 0.7447384082243773, [0, 1, 1]
38, 0, 0.7446644431814954, [0.8825584496268501, 1, 1]
39, 0, 0.7447157926084785, [0.2735137285885578, 1, 1]
40, 0, 0.7447157926084785, [0.2735137285885578, 1, 1]
41, 0, 0.7447384082243773, [0, 1, 1]
42, 0, 0.7447384082243773, [0, 1, 1]
43, 0, 0.7447384082243773, [0, 1, 1]
44, 0, 0.7447384082243773, [0, 1, 1]
45, 0, 0.7470509569459551, [0, 0.8626012484658282, 0]
46, 0, 0.7454748638812128, [0, 0.8626012484658282, 0.29948654986954787]
47, 0, 0.7446163763864342, [0, 0.8626012484658282, 1]
48, 0, 0.7446626764401166, [0.903123556542129, 1, 1]
49, 0, 0.7446543295362849, [1, 1, 1]
50, 0, 0.7466646801775065, [1, 1, 0.02646388788182019]
51, 0, 0.7466646801775065, [1, 1, 0.02646388788182019]
52, 0, 0.7449352434036163, [1, 1, 0.6714053497418618]
53, 0, 0.2379996623611297, [1, 0.3374428260428036, 0.6714053497418618]
54, 0, 0.2379996623611297, [1, 0.3374428260428036, 0.6714053497418618]
55, 0, 0.23178058129195678, [1, 0.13306081218079324, 0]
56, 0, 0.23178058129195678, [1, 0.13306081218079324, 0]
57, 0, 0.23178058129195678, [1, 0.13306081218079324, 0]
58, 0, 0.23178058129195678, [1, 0.13306081218079324, 0]
59, 0, 0.23178058129195678, [1, 0.13306081218079324, 0]
60, 0, 0.2370985646677114, [0.193629254666842, 0.13306081218079324, 0]
61, 0, 0.2370985646677114, [0.193629254666842, 0.13306081218079324, 0]
62, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
63, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
